,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
350,RBF_80_0.0,Treino,0,81,4679,0,1729
351,RBF_80_0.0,Treino,1,78,4678,1,1733
352,RBF_80_0.0,Treino,2,72,4693,0,1725
353,RBF_80_0.0,Treino,3,74,4688,0,1728
354,RBF_80_0.0,Treino,4,63,4702,0,1725
355,RBF_80_0.0,Treino,5,75,4680,1,1734
356,RBF_80_0.0,Treino,6,76,4679,0,1735
357,RBF_80_0.0,Treino,7,70,4669,2,1749
358,RBF_80_0.0,Treino,8,83,4683,3,1721
359,RBF_80_0.0,Treino,9,67,4702,1,1720
360,RBF_80_0.5,Teste,0,524,4,194,0
361,RBF_80_0.5,Teste,1,530,2,188,1
362,RBF_80_0.5,Teste,2,522,1,196,2
363,RBF_80_0.5,Teste,3,524,2,192,3
364,RBF_80_0.5,Teste,4,522,1,194,4
365,RBF_80_0.5,Teste,5,532,1,184,4
366,RBF_80_0.5,Teste,6,530,3,186,2
367,RBF_80_0.5,Teste,7,548,1,167,5
368,RBF_80_0.5,Teste,8,521,1,196,3
369,RBF_80_0.5,Teste,9,514,5,199,3
370,RBF_80_0.5,Treino,0,4739,21,1694,35
371,RBF_80_0.5,Treino,1,4735,21,1699,35
372,RBF_80_0.5,Treino,2,4755,10,1692,33
373,RBF_80_0.5,Treino,3,4740,22,1690,38
374,RBF_80_0.5,Treino,4,4756,9,1695,30
375,RBF_80_0.5,Treino,5,4741,14,1706,29
376,RBF_80_0.5,Treino,6,4739,16,1705,30
377,RBF_80_0.5,Treino,7,4727,12,1728,23
378,RBF_80_0.5,Treino,8,4746,20,1676,48
379,RBF_80_0.5,Treino,9,4755,14,1691,30
380,RBF_80_1,Teste,0,528,0,194,0
381,RBF_80_1,Teste,1,532,0,189,0
382,RBF_80_1,Teste,2,523,0,198,0
383,RBF_80_1,Teste,3,526,0,195,0
384,RBF_80_1,Teste,4,523,0,197,1
385,RBF_80_1,Teste,5,533,0,188,0
386,RBF_80_1,Teste,6,533,0,187,1
